Gene Symbol	hsa:ENTREZ_GENE_ID
ZBTB3	hsa:79842
TPH1	hsa:7166
DCST1	hsa:149095
TCP11L2	hsa:255394
WDFY4	hsa:57705
GPR26	hsa:2849
KIAA0825	hsa:285600
SESN3	hsa:143686
CSNK1G2-AS1	hsa:255193
NATD1	hsa:256302
KLHL34	hsa:257240
ZSCAN10	hsa:84891
SAMD3	hsa:154075
GOT1L1	hsa:137362
C10orf91	hsa:170393
MGC16142	hsa:84849
ZNF99	hsa:7652
CCDC108	hsa:255101
SIGLECL1	hsa:284369
LDHAL6A	hsa:160287
MRGPRX2	hsa:117194
NTN5	hsa:126147
KLF17	hsa:128209
CCDC105	hsa:126402
CCDC122	hsa:160857
C11orf42	hsa:160298
DKFZp434L192	hsa:222029
POM121L1P	hsa:25812
ZNF486	hsa:90649
CXorf22	hsa:170063
FGD2	hsa:221472
EXD1	hsa:161829
FAM178A	hsa:55719
NBPF4	hsa:148545
ZNF663P	hsa:100130934
LINC00955	hsa:285492
MGC34800	hsa:162137
C10orf126	hsa:283080
PIKFYVE	hsa:200576
LINC00479	hsa:150135
C9orf62	hsa:157927
C9orf84	hsa:158401
SLC22A24	hsa:283238
FMO9P	hsa:116123
C7orf33	hsa:202865
ELMOD2	hsa:255520
ACER1	hsa:125981
TAAR1	hsa:134864
OSTCP1	hsa:202459
LINC00305	hsa:221241
BFSP2-AS1	hsa:85003
STK32A	hsa:202374
LRRC28	hsa:123355
NS3BP	hsa:171391
CTAGE5	hsa:4253
GPHB5	hsa:122876
DCD	hsa:117159
EXOSC6	hsa:118460
IQSEC3	hsa:440073
ZDHHC19	hsa:131540
ALG14	hsa:199857
PPP1R21	hsa:129285
TMEM237	hsa:65062
ZNF564	hsa:163050
B3GALT6	hsa:126792
SNX21	hsa:90203
RHOB	hsa:388
ADAT3	hsa:113179
CEL	hsa:1056
GATS	hsa:352954
CBS	hsa:875
SPINK6	hsa:404203
C22orf39	hsa:128977
DPCD	hsa:25911
CYP39A1	hsa:51302
MEF2BNB	hsa:729991
ZNF121	hsa:7675
RAB7B	hsa:338382
DTYMK	hsa:1841
MAPKAPK5-AS1	hsa:51275
BRICD5	hsa:283870
LOC101928274	hsa:54621
NBR2	hsa:10230
MED25	hsa:81857
NT5E	hsa:4907
ASPHD1	hsa:253982
DMRTC1	hsa:63947
TRIM37	hsa:4591
ARHGEF28	hsa:64283
LLGL2	hsa:3993
OSMR	hsa:9180
NDST1	hsa:3340
